,,,,,,,,,,,,,,,,,,
Game,square valley,square valley,wingspan,wingspan,splendor,splendor,everdell,hearthstone,lords of waterdeep,lords of waterdeep,agricola,ascension,ascension,magic the gathering,slay the spire,slay the spire,traditional,tarot
Title,cherry orchard,tower,parrot crossbill,historian,[red sails],[bearded guy],farm,steady shot,confront the xanathar,bribe agent,bookshelf,dark gladiator,reverie muse,goblin picker,death's door,make it so,ace of spades,six of cups
Types,tree:farm:orchard,building,forest:bowl_nest:left_facing,hidden_goal,level_2,noble_title,construction:production,hero power,quest:warfare,intrigue:attack,minor_improvement,void:hero:night,lifebound:dream:hero,creature:goblin,skill:necromancer,attack:regent,spade:black:ordinal,cups
Reward 1 #,,,6,2,2,3,1,,20,,1,2,2,,7,6,,
Reward 1 Type,,,[feather],[feather],,,[sun],,[hex],,[coin],[star],[star],,block,damage,,
Reward 2 #,,,,,1,,,,2,,,,,,,,,
Reward 2 Type,,,,,[ruby],,,,[coin],,,,,,,,,
Reward 3 #,,,,,,,,,,,,,,,,,,
Reward 3 Type,,,,,,,,,,,,,,,,,,
Cost 1 #,,,1,,4,3,2,2,1,2,1,1,3,,1,0,,
Cost 1 Type,,,[wheat],,[sapphire],[ivory],[stick],[mana],[cleric],[coin],[wood],[rune],[dream],,[mana],[mana],,
Cost 2 #,,,1,,2,3,1,,4,,,1,,,,,,
Cost 2 Type,,,[wheat],,[emerald],[ruby],[resin],,[fighter],,,[power],,,,,,
Cost 3 #,,,1,,1,3,,,2,,,,,,,,,
Cost 3 Type,,,[wheat],,[ivory],[onyx],,,[rogue],,,,,,,,,
Cost 4 #,,,,,,,,,1,,,,,,,,,
Cost 4 Type,,,,,,,,,[mage],,,,,,,,,
Threshold 1 #,,,2,,,,1,,,,3,,,2,1,,1,6
Threshold 1 Type,,,[egg],,,,[harvester]:[gatherer],,,,Occupations,,,power,upgrade,,[spade],[cups]
Threshold 2 #,,,30,,,,,,,,,,,2,,,,
Threshold 2 Type,,,[wingspan],,,,,,,,,,,toughness,,,,
Action 1,"#end_of_game for each placed edge (such as road, water, fence, or wall) touching +4 [points]","#required within wall, not touching another tower","#activated remove 1 [die] from the birdfeeder, then gain 1 [wheat] from the supply. ",#end_of_game Any birds with an 's in its name. ,,,#played gain 1 [berry],deal 2 damage to the enemy hero. ,,#played Choose an action space containing an apponent's [meeple]. You can use that space's action as though you had assigned an [meeple] to it. ,"#trigger(occupation) Whenever you play 1 Occupation, you receive 3 food before you pay the cost of the Occupation",gain 2 [power],#played Gain 1 [rune],"#activate pay 1 [red], tap, discard a card","#if(doom) If you applied doom this turn, gain x [block] 2 additional times","#trigger every 3 skills you play in a turn, put this card into your hand",#ace,
Action 2,#end_of_game if touching a residence +4 [points],"#end_of_game for each wall edge touching multiplied by +3 [points], multiplied by the total number of towers in the same column or row",,,,,,,,,,#if(night) Night: Gain an additional 2 [power],#unite Double your [rune],#if activated draw a card,,,,
Action 3,"#played additional placement next turn, additional tile next turn",,,,,,,,,,,,,,,,,
Action 4,,,,,,,,,,,,,,,,,,
Action 5,,,,,,,,,,,,,,,,,,
Action 6,,,,,,,,,,,,,,,,,,
Action 7,,,,,,,,,,,,,,,,,,
Action 8,,,,,,,,,,,,,,,,,,
Action 9,,,,,,,,,,,,,,,,,,
Action 10,,,,,,,,,,,,,,,,,,
Targets,empty selected tile,empty selected tile,,,,,empty tableau slot,,,,,,,,,,,
Back,,,,,,,,,,,,,,,,,,
Rarity,,,,,,,common,,,,,3,2,,,,,
Flavor,,,,"$""{percent}% of cards""",,,,,"""Disrupt the pmas of the Xanathar, the beholder crime lord of Skullport.""","""I believe this will more than suffice . . .""",,"""Others fear the dark, he thrives in it""","Her gentle melodies drift through the dream meadows, filling the souls through with peace and possibility","""Countless generations of Shivan goblins have worked on the Mana Rig, giving them an unparalleled eye for useful relics. """,,,,
